RelativePath,Name,Extension,Size_bytes,Hash_MD5,Dimensions,Folder
assimilation/DA_smap_nocdf_noirr_2016/DA_smap_nocdf_noirr_2016_increment_map.png,DA_smap_nocdf_noirr_2016_increment_map.png,.png,285805,016f5c390e5b13c30058cb99bd896e62,2586x1887,assimilation
assimilation/DA_smap_nocdf_noirr_2016/DA_smap_nocdf_noirr_2016_increment_histogram.png,DA_smap_nocdf_noirr_2016_increment_histogram.png,.png,123206,4134dd9d925e812223795f7121f3a40e,2291x1695,assimilation
assimilation/DA_smap_nocdf_noirr_2016/Fig04c_soil_moisture_increment_distribution_DA-noCDF-noIRR_2016.png,Fig04c_soil_moisture_increment_distribution_DA-noCDF-noIRR_2016.png,.png,144463,15a2baee9ce827e6eeb4a60c7d69fd67,2291x1695,assimilation
assimilation/DA_smap_nocdf_noirr_2016/Fig04a_mean_innovation_observation_space_DA-noCDF-noIRR_2016.png,Fig04a_mean_innovation_observation_space_DA-noCDF-noIRR_2016.png,.png,298449,b814048632715a50accb64777fadb964,2610x1887,assimilation
assimilation/DA_smap_nocdf_noirr_2016/DA_smap_nocdf_noirr_2016_increment_histogram.json,DA_smap_nocdf_noirr_2016_increment_histogram.json,.json,466,d841a245e67496b8526ce7f2978f758a,N/A,assimilation
assimilation/DA_smap_nocdf_noirr_2016/Fig02_smap_assimilation_frequency_DA-noCDF-noIRR_2016.png,Fig02_smap_assimilation_frequency_DA-noCDF-noIRR_2016.png,.png,317540,4973a1fae6c6ffc9c35a09d861c5e742,3296x1652,assimilation
assimilation/DA_smap_nocdf_noirr_2016/DA_smap_nocdf_noirr_2016_obs_count.png,DA_smap_nocdf_noirr_2016_obs_count.png,.png,280454,74649293528b545b5a88f2c20a426cf4,2605x1866,assimilation
assimilation/DA_smap_nocdf_noirr_2016/Fig01_smap_assimilated_observation_count_DA-noCDF-noIRR_2016.png,Fig01_smap_assimilated_observation_count_DA-noCDF-noIRR_2016.png,.png,298123,f93381f98013924b42e25032989c8be0,2605x1866,assimilation
assimilation/DA_smap_nocdf_noirr_2016/DA_smap_nocdf_noirr_2016_seasonal_increments.json,DA_smap_nocdf_noirr_2016_seasonal_increments.json,.json,598,ddb664a9b4a04cd869a14a836af67a6d,N/A,assimilation
assimilation/DA_smap_nocdf_noirr_2016/DA_smap_nocdf_noirr_2016_spread_consistency.json,DA_smap_nocdf_noirr_2016_spread_consistency.json,.json,497,277c3a2cbdf9bd215ca43e6c21901b94,N/A,assimilation
assimilation/DA_smap_nocdf_noirr_2016/Fig05_wet_dry_season_increment_comparison_DA-noCDF-noIRR_2016.png,Fig05_wet_dry_season_increment_comparison_DA-noCDF-noIRR_2016.png,.png,429312,1016c159d2ff09de759ced570c4a9614,3957x1573,assimilation
assimilation/DA_smap_nocdf_noirr_2016/DA_smap_nocdf_noirr_2016_assim_frequency.png,DA_smap_nocdf_noirr_2016_assim_frequency.png,.png,319513,b849821c2453f909f55b43ccafce0a7a,3296x1652,assimilation
assimilation/DA_smap_nocdf_noirr_2016/DA_smap_nocdf_noirr_2016_increment_map.json,DA_smap_nocdf_noirr_2016_increment_map.json,.json,530,ae4255239f067aee33a3d32ceaf07da6,N/A,assimilation
assimilation/DA_smap_nocdf_noirr_2016/DA_smap_nocdf_noirr_2016_spread_comparison.json,DA_smap_nocdf_noirr_2016_spread_comparison.json,.json,504,420c9e7581b27ebea75aae7c9da940d7,N/A,assimilation
assimilation/DA_smap_nocdf_noirr_2016/DA_smap_nocdf_noirr_2016_obs_count.json,DA_smap_nocdf_noirr_2016_obs_count.json,.json,439,6c8a3efb5d30672f28c532691ef82ea2,N/A,assimilation
assimilation/DA_smap_nocdf_noirr_2016/Fig07_spread_related_diagnostics_obsspace_vs_state_DA-noCDF-noIRR_2016.png,Fig07_spread_related_diagnostics_obsspace_vs_state_DA-noCDF-noIRR_2016.png,.png,517003,e056427039159a214eb2b16e8da79a39,4043x2913,assimilation
assimilation/DA_smap_nocdf_noirr_2016/DA_smap_nocdf_noirr_2016_spread_consistency.png,DA_smap_nocdf_noirr_2016_spread_consistency.png,.png,394201,e8da1e121abb4ef97dde0cd227159a32,4134x1551,assimilation
assimilation/DA_smap_nocdf_noirr_2016/DA_smap_nocdf_noirr_2016_seasonal_increments.png,DA_smap_nocdf_noirr_2016_seasonal_increments.png,.png,429469,8d230ef08b2a6347bd982e51878af57e,3957x1573,assimilation
assimilation/DA_smap_nocdf_noirr_2016/DA_smap_nocdf_noirr_2016_assim_frequency.json,DA_smap_nocdf_noirr_2016_assim_frequency.json,.json,441,75120b279c50d09f118d330ac3cb6fc0,N/A,assimilation
