filepath,type,dependency_class,hash
configs/global.yaml,CONFIG,BASELINE_DEPENDENCY,92d3ab71eb2ae6e401fca3e6e818fdeaf668ec28c62c2cd8049a572a04f697c9
configs/experiments.yaml,CONFIG,BASELINE_DEPENDENCY,01df87aec0f962b988c2d51ef659c355df882dad5898652ea02977454d64a7a5
configs/baselines/smap_cdf_sensitivity_2016.yaml,CONFIG,BASELINE_DEPENDENCY,1bf65de23c076527a1870eb06f8905d4e9d922662b159791789c339444b540fa
configs/variables/evapotranspiration.yaml,CONFIG,BASELINE_DEPENDENCY,61a83afc9abf287f3a91e4b2ffc5c752b72a19284328e7d3b62c7d76e9633aa6
configs/variables/streamflow.yaml,CONFIG,BASELINE_DEPENDENCY,a3d531fb0d14a5275eed0410fc971b3cc99c06a0f41a2679608e2dbf473ec070
configs/variables/spread.yaml,CONFIG,BASELINE_DEPENDENCY,cf4be632be8724fa8aa4bb081d69827e196c6b5274e6fe514d18211f9ff4dcf9
configs/variables/innovations.yaml,CONFIG,BASELINE_DEPENDENCY,0dfa6130a764da33a5899430f13a702957ebaeab77fd34890a5d7cd057c27a9e
configs/variables/latent_heat.yaml,CONFIG,BASELINE_DEPENDENCY,e74d92b6a584cb49c9230991686e418428104bb9505f9e41a49028aa54f5b47f
configs/variables/groundwater_storage.yaml,CONFIG,BASELINE_DEPENDENCY,166cbde48add035c52dce02008d0b56d17a8e9af983d8116faf69ef425d42247
configs/variables/lai.yaml,CONFIG,BASELINE_DEPENDENCY,e9e8a1fd3c75cebc3e80c47fa2a9afba050523f9f2606d39de644ea42ab59d97
configs/variables/baseflow.yaml,CONFIG,BASELINE_DEPENDENCY,e76c3233ff1f855d2819ddbf5a6e2bb1f75f2df70767d28bdba09527ecaccd51
configs/variables/surface_soil_moisture.yaml,CONFIG,BASELINE_DEPENDENCY,37a03528c41b00b56ee63dfecdaf3016f5211a3fa620294d2e6f3bbc18698ebc
configs/variables/obs_count.yaml,CONFIG,BASELINE_DEPENDENCY,d2907bf7b5d19c266e603bc13510ede1c82b5df0e00eb0d01e804cf4e14039d7
configs/variables/runoff_partitioning.yaml,CONFIG,BASELINE_DEPENDENCY,42dddf16d8b57228f9627c0156dc9554f1df312ef7b0c75c5c04250ececeb67f
configs/variables/sensible_heat.yaml,CONFIG,BASELINE_DEPENDENCY,e9fcd05a5abac0f6a19692aba7d25e1426c176b172145dbbcf3af35de954919c
configs/variables/total_runoff.yaml,CONFIG,BASELINE_DEPENDENCY,475fe59ae9e841095fce7ce41f6ae4fe22908f45668b964f3caa163e89a0360b
configs/variables/transpiration.yaml,CONFIG,BASELINE_DEPENDENCY,6d0b93e38cb201d5d3acb735883693bd97f00bd3f4093c1a921eaa78ea26b86f
configs/variables/increments.yaml,CONFIG,BASELINE_DEPENDENCY,df02e3625a2981ccba234d925ff640dd672b45550545b8c34a7f3a890e845d75
configs/variables/soil_moisture_layers.yaml,CONFIG,BASELINE_DEPENDENCY,6a303778391377675c68bb15b3cd9a927682ed58c8f021df84491606701a191d
configs/variables/surface_runoff.yaml,CONFIG,BASELINE_DEPENDENCY,a4b3b7b4e35a8627d21b9e3ed94b56b7d0db5991a8e1703216e5988d3775d3f6
configs/variables/soil_evaporation.yaml,CONFIG,BASELINE_DEPENDENCY,6da84c585400aa3c724fe8a6c94798e3aba7a2cd7b2858acd9b44d0e8265418c
configs/variables/water_table_depth.yaml,CONFIG,BASELINE_DEPENDENCY,cca289578e983fcc7f35bf7d7b08ec90ba6872ce52ed1347a629e27672457d57
configs/variables/rootzone_soil_moisture.yaml,CONFIG,BASELINE_DEPENDENCY,d4c7268b7c15cd2d28aa2e8fbee8ad579596b920723603bdb52ecd6e99333cfb
configs/domains/morocco_001deg.yaml,CONFIG,BASELINE_DEPENDENCY,61920400a00b2a3b695ace46a92e0a8a348c6a53a18ebe65605ef148285ef6c1
configs/recipes/smap_cdf_sensitivity_2016.yaml,CONFIG,BASELINE_DEPENDENCY,7344d749eb73a5adb762404d74cbcaa81203299e11dbce1507ea0b124c3136d6
src/run_postproc.py,PYTHON_SCRIPT,BASELINE_DEPENDENCY,b134996dec940cc380b831939b71eb7d91955795a07a92bc93a6865df567222d
src/runoff_partitioning/plot_runoff_timeseries.py,PYTHON_SCRIPT,BASELINE_DEPENDENCY,c95a4581d57e7872b2ab45c0fc545f324295aa940013581ebedfb4fbb014b3e4
src/runoff_partitioning/main.py,PYTHON_SCRIPT,BASELINE_DEPENDENCY,0de99a59ee41d133f8b921192b73b3fe1bd7099fc6313e6a6f8683877ab85cea
src/hymap_validation/main.py,PYTHON_SCRIPT,PRESERVED_UNUSED,70fcc535a1da8371629f55911773472366d5728b13fce4c0c3a0f6f3db4a131d
src/hymap_validation/plot_hydrographs.py,PYTHON_SCRIPT,PRESERVED_UNUSED,9bf96195a30a3dddf49a2c93fe4f5f49f3f96ff3e92e3686f52e5f610a144c6a
src/opl_vs_da/main.py,PYTHON_SCRIPT,BASELINE_DEPENDENCY,e47ba5f1f6dac5a744a53b100499b7d976dcf98473d23c73f3804252c8d2563c
